hardware,num
Pixhawk 4,39
Other Device (not flight controller),26
Airframe (not flight controller),23
pixhawk2(cube),22
Pixracer,11
CUAV,8
only FMU version (a hardware design standard),8
HOLYBRO_KAKUTE F7,7
pixhawk1,6
Hex Cude,5
Pixhawk 4 mini,5
fmuk66,4
Beaglebone Blue,3
Holybro Pixhwak6C,3
Mind Racer & Mind PX,3
MRO Control Zero H7,3
MRO X2.1,3
Pixhawk 6X,3
Drotek Pixhwak 3 Pro,2
Holybro Pix32,2
OmnibusF4SD,2
Raspberry Pi,2
Cube Blue,1
Holybro Pixhawk 5X,1
Matek H743-Slim,1
ModalAI FC-v1,1
Qualcomm Snapdragon,1
